DOI,Title,Conference,PaperType,Year,Authors,InternalReferences,Keywords
10.1109/TVCG.2011.185,D³ Data-Driven Documents,InfoVis,Journal paper,2011,Michael Bostock;Vadim Ogievetsky;Jeffrey Heer,10.1109/INFVIS.2000.885091;10.1109/INFVIS.2000.885098;10.1109/TVCG.2010.144;10.1109/TVCG.2009.174;10.1109/INFVIS.2004.12;10.1109/TVCG.2006.178;10.1109/INFVIS.2005.1532122;10.1109/TVCG.2008.166;10.1109/INFVIS.2004.64;10.1109/TVCG.2007.70539,information visualization;user interface;toolkit;2d graphics
10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,InfoVis,Journal paper,2006,Danny Holten,10.1109/INFVIS.2004.1;10.1109/INFVIS.2003.1249008;10.1109/INFVIS.2005.1532150;10.1109/INFVIS.2003.1249030;10.1109/INFVIS.2005.1532129;10.1109/INFVIS.1997.636718;10.1109/INFVIS.2002.1173152,network visualization;edge bundles;edge aggregation;edge concentration;curves;graph visualization;tree visualization;node-link diagram;hierarchies;treemap
10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,Vis,Conference paper,1997,Mark A. Duchaineau;Murray Wolinsky;David E. Sigeti;Mark C. Miller;Charles Aldrich;Mark B. Mineev-Weinstein,10.1109/VISUAL.1996.567600;10.1109/VISUAL.1996.568126;10.1109/VISUAL.1996.568125;10.1109/VISUAL.1995.480813;10.1109/VISUAL.1995.480805,triangle bintree;view-dependent mesh;frame-to-frame coherence;greedy algorithms
10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,Vis,Conference paper,2003,Jens H. Krüger;Rüdiger Westermann,10.1109/VISUAL.1999.809889;10.1109/VISUAL.1997.663880;10.1109/VISUAL.1993.398852;10.1109/VISUAL.2002.1183764,volume rendering;programmable graphics hardware;ray casting
10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,InfoVis,Conference paper,2005,Jeffrey Heer;Danah Boyd,10.1109/INFVIS.2004.1,social network;visualization;graph;community;data mining;exploration;play
10.1109/VISUAL.2001.964489,Point set surfaces,Vis,Conference paper,2001,Marc Alexa;Johannes Behr;Daniel Cohen-Or;Shachar Fleishman;David Levin;Cláudio T. Silva,10.1109/VISUAL.1997.663930;10.1109/VISUAL.1998.745327,surface representation and reconstruction;moving least squares;point sample rendering;3d acquisition
10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,InfoVis,Journal paper,2007,Fernanda B. Viégas;Martin Wattenberg;Frank van Ham;Jesse Kriss;Matthew M. McKeon,10.1109/INFVIS.2005.1532122;10.1109/VISUAL.1991.175820;10.1109/INFVIS.2003.1249007,visualization;world wide web;social software;social data analysis;communication-minded visualization
10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,InfoVis,Journal paper,2007,Ji Soo Yi;Youn ah Kang;John T. Stasko;Julie A. Jacko,10.1109/VISUAL.1994.346302;10.1109/INFVIS.2005.1532136;10.1109/INFVIS.1996.559213;10.1109/VISUAL.1991.175794;10.1109/INFVIS.2005.1532126;10.1109/INFVIS.2000.885091;10.1109/INFVIS.1999.801860;10.1109/INFVIS.2000.885086,information visualization;interaction;interaction techniques;taxonomies;visual analytic
10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,InfoVis,Journal paper,2010,Edward Segel;Jeffrey Heer,10.1109/TVCG.2007.70577;10.1109/TVCG.2007.70539;10.1109/TVCG.2008.137;10.1109/VAST.2007.4388992,narrative visualization;storytelling;design methods;case studies;journalism;social data analysis
10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,Vis,Conference paper,1998,Michael Garland;Paul S. Heckbert,10.1109/VISUAL.1997.663908,surface simplification;multiresolution model;level of detail;quadric error metric;edge contraction;surface properties;discontinuity preservation
